well_id,well_or_group,name,dataset_1_177,dataset_1_14,dataset_1_13,dataset_1_12
All Wells,group,All Wells,DarkGray,Red,Red,Green
ESP Wells,group,ESP Wells,DarkGray,Red,Red,Green
Horizontal Wells,group,Horizontal Wells,Green,DarkGray,Yellow,Red
Pumping Unit Wells,group,Pumping Unit Wells,Yellow,Green,DarkGray,Yellow
Vertical Wells,group,Vertical Wells,Red,Yellow,Green,DarkGray
44592,well,Deatherage 23 2,Yellow,Yellow,Yellow,Yellow
44593,well,Abraxas 30A 2,DarkGray,DarkGray,DarkGray,DarkGray
44594,well,Stevie Ray E Unit 2LS,DarkGray,DarkGray,DarkGray,DarkGray
44595,well,Richards 41A 1,Green,Green,Green,Green
44596,well,Nance 19 6,Red,Red,Red,Red
44597,well,Slaughter Bauer 832,DarkGray,DarkGray,DarkGray,DarkGray
44598,well,Richards 47A 1,Yellow,Yellow,Yellow,Yellow
44599,well,Self 3,DarkGray,DarkGray,DarkGray,DarkGray
44600,well,Stephens 1,Green,Green,Green,Green
44601,well,Slaughter 19D 1,Yellow,Yellow,Yellow,Yellow
44602,well,Abraxas 28B 1,DarkGray,DarkGray,DarkGray,DarkGray
44604,well,Johnson C 1,Yellow,Yellow,Yellow,Yellow
44605,well,Heald 4,Green,Green,Green,Green
44608,well,Slaughter 87B 3,Red,Red,Red,Red
44609,well,Holcomb 45A 1,DarkGray,DarkGray,DarkGray,DarkGray
44610,well,Rufus 4,Green,Green,Green,Green
44612,well,Abraxas 27B 1,Red,Red,Red,Red
44613,well,Slaughter 29E 3,Yellow,Yellow,Yellow,Yellow
44614,well,Elma L Slaughter G 4,DarkGray,DarkGray,DarkGray,DarkGray
44615,well,Slaughter 8A 1,Green,Green,Green,Green
44616,well,Abraxas 32A 1,Yellow,Yellow,Yellow,Yellow
44617,well,Oneil 4 2,DarkGray,DarkGray,DarkGray,DarkGray
44618,well,Nance 19 5,DarkGray,DarkGray,DarkGray,DarkGray
44619,well,Abraxas 28 2,Yellow,Yellow,Yellow,Yellow
44620,well,Abraxas 32 5,Green,Green,Green,Green
44622,well,Elma L Slaughter D 2,Yellow,Yellow,Yellow,Yellow
44623,well,Davis 18 1,DarkGray,DarkGray,DarkGray,DarkGray
44624,well,Abraxas 30A 3,Red,Red,Red,Red
44625,well,Stone 70 1,Green,Green,Green,Green
